iIssueId,Resumen,GPT4,labels,modificacion,inconcluso
14812,"Se solicita apoyo con un proceso no concluido de Saldos de Cartera por Convenio. Tras la liberación del proceso por parte del equipo de soporte, se confirma la resolución del problema y se da por cerrado el ticket.",No,procesos automáticos,No,No
14813,"El ticket se originó como un requerimiento de saldo de retención por administración que fue autorizado y necesitaba ser facturado para el pago. Tras pasar por pruebas y validaciones en ambientes de prueba, se procedió a actualizar en producción y finalmente se generó la factura para el cliente.",No,"facturación, fechas estimadas de entrega",Sí,No
14814,"Se solicitó un manual de cómo aplicar residuales en el sistema Zell. Tras diversas pruebas y ajustes, se logró implementar la funcionalidad en producción, incluyendo validaciones para evitar cierres automáticos de créditos con valores residuales. Se activaron múltiples arrendamientos y se realizaron seguimientos para validar las diferentes opciones de terminación.",No,"terminación de créditos, pruebas en producción",Sí,No
14815,"Se planteó la necesidad de agregar accesorios a un arrendamiento ya aperturado. Tras considerar diversas opciones, se determinó que esta funcionalidad se resuelve a través de renovaciones. Se realizaron pruebas y ajustes, logrando satisfactoriamente la implementación en producción.",No,liberación de procesos,No,No
14816,"Se reportó una apertura errónea de un crédito, solicitando validación y ajustes en la regla de primer pago. Tras diversas comunicaciones y pruebas, se logró corregir el problema y se implementaron las actualizaciones necesarias en producción para evitar situaciones similares en el futuro.",No,cambio a persona moral,Sí,No
14817,"Se solicitó la liberación del Maestro Comisiones que se encontraba atorado. Tras la intervención de Paco y validaciones posteriores, se logró liberar el proceso y se notificó al cliente para su validación.",No,liberación de procesos,No,No
14818,"Se solicitó la actualización del proceso de Banxico para adoptar el protocolo HTTPS en su sitio web, incluyendo la sincronización automática del tipo de cambio. Tras enviar la cotización y realizar pruebas en ambiente de pruebas, se procedió a habilitar el proceso en producción para el perfil Administrador en ejecución manual.",No,"actualización de procesos, cotización",Sí,No
14819,"Se solicitó apoyo con un proceso no concluido de Saldos de Cartera por Convenio para el usuario HVILLA. Tras la intervención de Paco, se logró resolver satisfactoriamente el problema.",No,procesos automáticos,No,No
14820,"Se solicitó ayuda para cambiar la cuenta del cliente 968547 a persona moral. Tras la intervención de Alejandro, se realizó el cambio solicitado y se confirmó la resolución por parte de Héctor García.",No,"actualización de procesos, cotización",Sí,No
14821,"Se solicitó la actualización del WS de Banxico para adoptar el protocolo HTTPS en su sitio web y sincronizar automáticamente el tipo de cambio. Luego de enviar la cotización, realizar pruebas y corregir errores, se pasó el proceso a producción para ejecución manual por parte del perfil Administrador.",No,"actualización de procesos, paso a producción",Sí,No
14822,"Se solicitó ayuda para asignar permisos a un usuario sobre un reporte de PLD. Tras enviar una guía de usuario y confirmar la resolución por parte de Ulises, se cerró el ticket satisfactoriamente.",No,"permisos de usuario, reportes",No,No
14823,"El ticket se originó como una consulta sobre la imposibilidad de consultar convenios en ZELL TEST. Tras varias verificaciones, se descubrió que el problema estaba relacionado con un nivel de seguridad que impedía la visualización de la información. Una vez identificado este detalle, se procedió a cerrar el ticket, ya que se resolvió el inconveniente.",No,"configuración de sistema, problemas de acceso",No,No
14824,"En este ticket se solicitó un cambio en el archivo de domiciliación de cuentas propias de BANORTE, debido a un error en la generación del mismo. Tras múltiples interacciones y ajustes, se logró corregir la estructura del archivo y se procedió a actualizar los procesos en producción. Finalmente, se confirmó que la carga del archivo de respuesta funcionaba correctamente, dando por concluido el ticket.",No,"archivo domiciliación, banorte, error, proceso automático",Sí,No
14825,"Se solicitó un cambio en el archivo de domiciliación BANORTE debido a un error en su generación. Tras varias etapas de desarrollo, ajustes y pruebas, se logró corregir el archivo y se procedió a actualizar los procesos en producción. Finalmente, se confirmó que la carga del archivo de respuesta funcionaba correctamente, cerrando así el ticket.",No,"archivo domiciliación, banorte, error, proceso automático",Sí,No
14826,"El ticket se originó por la necesidad de re-dispersar un crédito que se encontraba en estado de ""Por Dispersar"". Tras la intervención de los responsables, se logró realizar la re-dispersión con éxito, culminando con la resolución del problema y el cierre del ticket.",No,"compras cr credifiel, error, proceso automático",Sí,No
14827,"En este ticket se solicitó desbloquear la lista 124 para poder generar la quincena 21 de GCDMX. Tras la intervención del equipo correspondiente, se logró desbloquear la lista de manera efectiva, permitiendo así la generación de la quincena solicitada. El ticket fue cerrado una vez confirmada la resolución del problema.",No,desbloquear lista,Sí,No
14828,"Se solicitó ayuda para anular un reembolso que quedó con un carácter especial en los comentarios, generando líneas de código. Tras corregir el error, se anuló el movimiento y se informó al cliente. Finalmente, se confirmó la corrección por parte de Olinka Herrera.",No,"reembolso, error",Sí,No
14829,"Se reportó un crédito que fue aperturado y cerrado el mismo día, solicitando identificar por qué se cerró. Tras revisar la situación, se determinó que si se trató de un error operativo, el ticket podía cerrarse, concluyendo así la incidencia.",No,"crédito, cierre de ticket",No,No
14830,"Se solicitó desunificar créditos de dos personas distintas con nombres similares. Tras una serie de interacciones para obtener más detalles y guiar sobre el proceso de desunificación, se logró realizar la acción solicitada y se procedió al cierre del ticket.",No,desunificar créditos,Sí,No
14831,"Se planteó una duda sobre la matriz de riesgo al no encontrar la función de edad en la nueva matriz. A pesar de múltiples intentos de seguimiento y actualización por parte de Alfredo, no se obtuvo respuesta de Diego, por lo que se decidió cerrar el ticket ante la falta de comentarios.",No,"matriz de riesgo, actualización de test",No,Sí
14832,"Se solicitó información sobre un registro de cliente con un correo específico, sin encontrar registro de persona ni solicitud asociada. Tras confirmar la ausencia de registro, se procedió al cierre del ticket.",No,registro de acreditado,No,No
14833,Se recibió un requerimiento de CFDI para generar XML y PDF de complementos de pago. Se solicitó a Salvador hacer público el servicio de pruebas. Se espera que Zell genere los XML y PDF de acuerdo con la información fiscal del PAC. El proyecto se encuentra en pausa desde noviembre de 2019.,No,requerimiento cfdi,No,Sí
14834,"Se solicitó desunificar créditos unificados en el sistema para diferentes personas. Se enviaron guías de usuario, se configuraron parámetros en pruebas y producción. Se confirmó la desunificación en producción tras validación.",No,desunificar cliente,Sí,No
14835,Se reportó un problema en el CR#36448 donde no se respetaban los intereses al simular saldos a liquidar. Se solicitó validar la fórmula de liquidación 16 y 18. Se confirmó que la fórmula 16 solo tomaba en cuenta Capital-Transito y se dejó así por ser un producto bloqueado.,No,"consulta, error",Sí,No
14836,"Se reportó una falla recurrente en el proceso de compra del distribuidor 2116 que devolvía ""No records returned"". Se identificó que era un problema del lado de CR y se solicitó su revisión. Se realizó una actualización de Web Services por parte de CR que requirió detener los servicios de ZELL temporalmente.",No,"consulta, error, proceso automático",Sí,No
14837,Se consultó sobre la configuración del rebate en un producto financiero para manejarlo con Crédito Real. Se envió información para configurar el rebate y se solicitó validar si puede considerarse con prorrateo de pagos. El ticket se cerró para evaluar si es necesario añadir los campos a reportes.,No,"cobranza, actualización de contraseña",Sí,No
14838,"Se solicitó actualizar la contraseña de Circulo de Crédito en Zell. Tras la modificación, se notificó al cliente y se confirmó que la contraseña fue actualizada con éxito.",No,actualización de contraseña,Sí,No
14839,"Se realizó la configuración de pólizas relacionadas con dinámicas contables, incluyendo la creación de una póliza específica. Sin embargo, el proyecto se encuentra en pausa hasta nuevo aviso, sin avances significativos desde entonces.",No,"contabilidad, pólizas, configuración dinámica",Sí,No
14840,"Se solicitó habilitar un campo para visualizar la matriz en el perfil de un usuario. Tras una llamada explicativa y seguimiento por correo, se confirmó que el ticket podía cerrarse al haber completado la solicitud.",No,perfil de usuario,No,No
14841,"Se reportó un problema con un cliente en listas pep, donde no se mostraba una alerta al intentar validarlo telefónicamente. Tras consultas y respuestas por correo, se confirmó el cierre del ticket al no presentar problemas adicionales.",No,listas pep,No,No
14842,"Se solicitó remover el paginado en un servicio entre ambientes de prueba y producción. Tras la sustitución del procedimiento en pruebas, se confirmó la solución del problema por parte del cliente afectado.",No,"webservices, producción, testing",Sí,No
14843,"El ticket se originó como un requerimiento de implementación del modelo de DRP y BCP para Zell en la nube de Azure. A lo largo del tiempo, se enviaron múltiples correos de seguimiento y recordatorio sin obtener respuesta del cliente. Finalmente, el ticket se canceló debido a la falta de respuesta del cliente y la vigencia de la cotización.",No,"seguridad de información, azure",No,Sí
14844,"En este caso, se trató de una operación de IB 448788 que requería anular el último pago para cerrar el crédito correctamente. Tras enviar explicaciones y correos de seguimiento, se decidió cerrar el ticket a petición de Karla.",No,"crédito, liquidación, pagos",Sí,No
14845,"Se solicitó un cambio en la ubicación de una columna en un reporte, el cual fue realizado con éxito. Tras notificar al cliente, se confirmó la solución y se cerró el ticket.",No,"reportes, modificación de columnas",Sí,No
14846,"La solicitud era para destrabar el proceso STP de la solicitud 51109, pero al validar que la operación ya se había dispersado, se decidió cerrar el ticket.",No,procesos stp,No,No
14847,"En este caso, se requería que el CAT en las solicitudes mostrara el valor exacto configurado en la promoción, sin redondeos. Tras realizar la corrección y confirmar la validación, se cerró el ticket a solicitud del cliente.",No,"cat, configuración de solicitudes",Sí,No
14848,"Se solicitó destrabar el proceso ""Apertura de solicitudes Autorizadas ejecuta LCEDILLO"". Tras la intervención de Francisco, el proceso fue liberado y validado por Karla.",No,"procesos, desbloqueo",No,No
14849,"Se solicitó agregar una columna al reporte ""Saldos Cartera"" para mostrar el CAT con el que se originó el crédito. Tras varios correos de seguimiento, se resolvieron los motivos internos y se cerró el ticket.",No,"reportes, configuración de columnas",Sí,No
14850,"Se solicitó un WS que devolviera un arreglo con documentos relacionados a un número de solicitud ZELL e ID de documento. Tras múltiples correos de seguimiento y pruebas, el servicio fue revisado y funcionando correctamente, pasando a producción.",No,"webservices, consulta de documentos",Sí,No
14851,"Se solicitó destrabar la lista 40650 que estaba en estatus ""APLICANDO"". Alejandro resolvió la situación y Karla validó la acción.",No,"perfil de usuario, configuración de sistema",No,No
14852,"Se consultó si un error era de ZELL o de Credito Real, resultando ser por una actualización de Web Services de CR. Tras ajustes y validaciones, se confirmó que los procesos se ejecutaban correctamente.",No,"errores, actualización de webservices",Sí,No
14853,"El ticket se originó por un problema con el respaldo en el FTP que no estaba actualizado. Tras la intervención de Francisco, se colocó el respaldo en el sitio FTP y se notificó al cliente, quedando el problema resuelto.",No,"respaldo, ftp",Sí,No
14854,"Se reportó un error en los procesos de CR, específicamente en compras y decisiones. Tras la intervención de José y Alejandro, se identificó que el problema era general y causado por un cambio en los servicios de CR. Una vez resuelto, se confirmó que el tema ya estaba solucionado.",No,"errores, procesos de cr",Sí,No
14855,"El ticket se generó debido a un error en la consulta a Crédito Real, provocado por una actualización en sus Web Services. Tras varios intentos de ajuste y actualización de componentes, se identificó que el servicio no se actualizaba debido a la incompatibilidad del sistema operativo. Se reportó la situación al área de sistemas y se notificó a Eduardo una vez confirmado que todo estaba correcto.",No,"webservices, clientid",No,No
14856,"Se solicitó habilitar una ventana en el usuario de Administrador en Zell CF. Tras la revisión de Alfredo, se confirmó que no existía ninguna restricción y se notificó que la pantalla ya podía ser visualizada, dando por cerrado el ticket.",No,"perfil de usuario, configuración de ventana",No,No
14857,"El ticket se abrió por un problema al generar el reporte ""Pagos por fecha Aplicación"". Tras revisar los procesos configurados, se identificó que el proceso existía pero requería ajustes. Después de realizar las correcciones necesarias y recibir el VoBo de Aydee, se confirmó que el ticket podía cerrarse.",No,"pagos, configuración de reportes",Sí,No
14858,"Se reportó un error al intentar generar un expediente en PDF desde la pantalla de Digitales, arrojando un mensaje de error ""Could not find stored procedure sepCommonFile"" al presionar el botón PDF. Tras la intervención de Paco y Alex, el problema fue resuelto satisfactoriamente y confirmado por Ana.",No,"interés, cálculos, liquidación anticipada",Sí,Sí
14859,"Se solicitó información sobre el método de Webservice para consultar el ClientID, ya que solo se contaba con el AppID. Tras varios correos y seguimientos, se determinó que no existía un servicio que proporcionara esa información, por lo que se cerró el ticket a solicitud de Gaston.",No,"webservices, consulta de clientid",No,No
14860,"Se identificó una incidencia en el cálculo de intereses en la fórmula de liquidación anticipada, donde se estaban considerando incorrectamente todos los días de interés en lugar de solo los correspondientes a la cuota en periodo de devengamiento. Tras ajustes y validaciones, el proyecto fue suspendido temporalmente y se encuentra en pausa hasta nuevo aviso.",No,"pruebas, cálculos, liquidación",Sí,Sí
14861,"Se enviaron layouts de CONTPAQ para definir la interface a utilizar, con solicitudes de revisión y ajustes constantes. Tras múltiples interacciones, cambios y validaciones, finalmente se logró implementar con éxito el desarrollo en producción.",No,"contpaq, layout, proceso, integracion",No,No
14862,"Se reportó un error al intentar crear paquetes de refinanciamientos en producción, el cual fue corregido y validado satisfactoriamente. Tras varios correos, seguimientos y ajustes, se confirmó que no había problemas con los nuevos paquetes generados, procediendo al cierre del ticket.",No,error,No,No
14863,"Se reportó un error 5 en las consultas de buró por parte de Karla. Tras la revisión y ajuste realizado, se notificó a través de correo electrónico que el sistema funciona correctamente, dando por resuelto el problema.",No,"error, consultas",No,No
14864,"Se informó que el crédito de Eduardo Meza no generó póliza. A pesar de solicitar acceso temporal a producción para revisar el tema, no se obtuvo respuesta. Finalmente, se cerró el ticket al no recibir la información necesaria para proceder.",No,"credito, polizas",No,Sí
14865,"Se reportó que el proceso de Quién es Quién no estaba corriendo, pero tras realizar pruebas y autorizaciones, se confirmó que el problema fue resuelto y se continuará monitoreando para evitar futuras interrupciones.",No,proceso automatico,No,No
14866,"Se solicitó la actualización de CR por parte de Alex. Tras realizar los ajustes necesarios, se notificó que los componentes fueron actualizados correctamente, solucionando el problema reportado.",No,"proceso, actualizacion de test",Sí,No
14867,"Se requirió una modificación en los servicios de Crédito Real, solicitando a Jaime Díaz coordinar un horario para realizar el proceso de actualización. Tras completar la actualización y cambiar el estatus de las solicitudes, se confirmó la solución vía telefónica con Jaime Díaz.",No,proceso automatico,No,No
14868,"Se solicitó la modificación de DAP/DIE debido a un error en la autorización previa a la formalización de la compra por parte de Crédito Real. Tras varios intercambios de información y consultas sobre la necesidad de un cambio único o recurrente, finalmente se logró actualizar los DAP/DIE de manera satisfactoria, resolviendo así el problema.",No,"modificacion, requerimiento, cotizador",No,No
14869,"Se planteó un requerimiento para la actualización de zleInvest, incluyendo la validación de un campo adicional en el WS. Tras diversas etapas de desarrollo, pruebas y correcciones, se logró implementar con éxito la actualización solicitada, cumpliendo con los estándares de regulación bancaria y garantizando su correcto funcionamiento en producción.",No,"modificacion, requerimiento, cotizador",No,No
14870,"Se planteó un requerimiento para la creación de un nuevo WS zleCancelInvest, con la necesidad de cancelar un ticket si una solicitud no estaba fondeada al 100%. Tras un proceso de desarrollo, pruebas y correcciones de errores reportados, se logró implementar el WS con éxito, asegurando su correcto funcionamiento y cumplimiento de regulaciones bancarias.",No,"modificacion, requerimiento, cotizador",No,No
14871,"Se planteó un requerimiento para el proceso Investor Balance, que implicaba la generación de un archivo con datos de inversionistas. Tras un proceso de desarrollo, pruebas y validaciones, se logró habilitar el proceso en producción, cumpliendo con los requisitos establecidos y permitiendo su uso efectivo por parte de los usuarios.",No,"requerimiento, proceso, integracion",Sí,No
14872,"Se reportó un problema con los días de atraso en un crédito, donde el reporte mostraba 0 días de atraso a pesar de tener cuotas vencidas. Tras identificar y corregir el error en el sistema de reembolsos, se logró actualizar correctamente los días de atraso, validando la corrección con el cliente y confirmando la resolución del problema.",No,"saldos de cartera, reembolsos, días de atraso, proceso de reembolso",Sí,No
14873,"Se reportó un error al ejecutar el proceso de consulta de Círculo de Crédito, mostrando un mensaje de error al intentar descargar desde una URL específica. Tras intentar nuevamente y validar con el cliente, se logró solucionar el problema, confirmado por Miguel Méndez.",No,"consulta círculo de crédito, error de descarga",No,No
14874,"Se solicitó la inclusión de 3 columnas en el reporte de Archivo Usuarios Zell (Comisiones). Tras múltiples interacciones y ajustes en los procesos de generación de información, se logró implementar las columnas solicitadas en pruebas y posteriormente en producción, con autorización final y notificación al cliente.",No,"archivo usuarios zell, columnas adicionales",Sí,No
14875,"Se solicitó la configuración para permitir únicamente el acceso mediante HTTPS en lugar de HTTP al sistema Zell. Tras eliminar la navegación no segura, se generó un inconveniente operativo que requirió habilitar nuevamente HTTP temporalmente. Finalmente, se decidió no reintegrar la restricción de HTTPS hasta tener confirmación formal por escrito, cerrando el ticket.",No,"acceso seguro, http, https",Sí,No
14876,"Se requirió la inactivación masiva de 3913 vendedores en el sistema. Tras solicitar la lista correspondiente y enviar recordatorios, se decidió cerrar el ticket al no ser necesaria la inactivación masiva.",No,"catálogos, dependencias, relaciones",Sí,No
14877,"Se reportó un problema en el proceso de decisiones con CR, donde no se generaban registros a pesar de tener una solicitud autorizada. Tras revisar la situación y colocar el consecutivo correspondiente en Zell, se logró solucionar el problema, confirmado por Ana.",No,"proceso de decisiones, respuesta de cr",No,No
14878,"Se reportó un error en el reporte de estatus de solicitudes donde las columnas tComment1 y tComment2 reflejaban el mismo comentario, siendo que debían mostrar el último y penúltimo comentario respectivamente. Tras la corrección realizada, se notificó al cliente y se confirmó la validación del ajuste por parte de Guillermo.",No,"layout, carga de información",Sí,No
14879,"Se identificó una falla en el filtro de fechas del módulo de reembolsos que no mostraba registros. Luego de la corrección, se confirmó su funcionamiento y se notificó al cliente para su validación.",No,"módulo de reembolsos, filtros de fechas",Sí,No
14880,"Se reportaron incidencias en documentos de cierre, incluyendo problemas con la etiqueta CAT, la trunca de un documento a 4 hojas y la necesidad de etiquetas para imágenes. Tras diversas interacciones y ajustes, se liberó una nueva opción para generar los documentos, quedando a la espera de comentarios adicionales.",No,"documentos de cierre, etiquetas de imágenes",Sí,No
14881,"Se solicitó la eliminación de una lista de cobro en estatus de generándose. Tras la intervención de Alfredo, la lista fue liberada y se notificó a Mildred, cerrando finalmente el ticket tras confirmación de Ulises.",No,"lista de cobro, generación de lista",Sí,No
14882,"Se presentó un error al subir una solicitud al sistema, generando un status capturada incorrecto. Tras la intervención de Alejandro y notificación a CR, se logró corregir el problema y se confirmó el cierre del ticket con la validación del cliente Alvaro Ornelas.",No,"error en sistema, descarga de expediente",Sí,No
14883,"Se reportó un problema con el proceso de generación del reporte de Saldos de Cartera por Convenio que quedó congelado. Tras la intervención de ISIS y FRANCISCO, se logró liberar el proceso y notificar al cliente, finalizando con éxito la generación del reporte.",No,"reporte de saldos, proceso congelado",Sí,No
14884,"Se solicitó la actualización de la versión Zell en producción para el módulo de PLD. Tras la cotización de servidores por ALFREDO y la confirmación de uso compartido por parte de Eduardo, se dará seguimiento a la cotización para hospedaje en servidor con el ticket 14898.",No,"actualización de versión, zell, producción",Sí,No
14885,"Se reportó un error al intentar descargar un expediente en PDF en la solicitud 34295. Tras la intervención de ALFREDO y ALEJANDRO para solucionar problemas de conexión y procedimientos, se logró corregir el error y confirmar que el usuario pudo descargar los expedientes digitales.",No,"error en sistema, descarga de expediente",Sí,No
14886,"Se identificó un error al intentar relacionar financiamientos en el catálogo de Dependencias. Tras el reporte de JOSE y la corrección realizada por ALEJANDRO, se confirmó la resolución del problema vía telefónica con Jaime Díaz.",No,"catálogos, dependencias, relaciones",Sí,No
14887,"Se solicitó apoyo para validar un error en ZELL al grabar una solicitud específica. Tras la intervención de ISIS y ajustes realizados, se logró resolver el problema y confirmar la corrección del error en la pantalla de guardado de solicitudes.",No,"error en sistema, guardar solicitud",Sí,No
14888,"El ticket se originó como una solicitud de ayuda para validar un layout de información demográfica para la carga de créditos. Tras revisar el archivo, se recomendó realizar pruebas en un ambiente de pruebas antes de replicar el proceso en producción. Se identificó un error al intentar cargar el archivo, el cual se resolvió al configurar el número de sucursal en el proceso. Finalmente, se decidió cerrar el ticket para abordar el tema de migración en otro ticket.",No,"layout, carga de información",Sí,Sí
14889,"El ticket se generó debido a un proceso ""Publicación de Movimientos"" que estaba deteniendo la operación del personal. Se solicitó ayuda para detener el proceso, el cual se logró mediante un time out. Posteriormente se notificó a los usuarios involucrados en el proceso.",No,"proceso en ejecución, publicación de movimientos",Sí,No
14890,"En este ticket se reportaron problemas con CR que generaban pantallas de error. Tras identificar que el problema estaba relacionado con un cambio en Crédito Real, se acordó un horario para solucionar el problema. Después de realizar la actualización, se confirmó que el problema fue resuelto y se cerró el ticket.",No,"problemas con cr, componentes de cr",Sí,No
14891,"El ticket se abrió por un problema con el webservice LINQ que no estaba funcionando. Tras investigar, se determinó que no era un servicio relacionado con Zell y se decidió cancelar el ticket para solicitar un nuevo webservice. Se notificó la cancelación a los involucrados.",No,"webservice, linq",No,No
14892,"El ticket se originó por un problema al intentar generar registros con el proceso ""Archivo IMSS Pensionados - Créditos"". Tras identificar la causa y realizar pruebas, se logró generar la información correctamente. Sin embargo, el proyecto se suspendió indefinidamente, manteniendo el ticket en pausa hasta nuevo aviso.",No,"archivo imss pensionados, créditos, generación de txt",Sí,No
14893,"El ticket se originó como un requerimiento para configurar los archivos de cobranza para los convenios SALUD JALISCO FEDERAL y ESTATAL. Se generaron dos procesos en producción, pero faltaba relacionarlos a los convenios correspondientes y validarlos. Tras múltiples interacciones y retrasos, finalmente se identificó que faltaba agregar un pipe en los datos de los movimientos entre la partida del antecedente y el tipo de movimiento. Una vez corregido, se consideró resuelto.",No,"configuración, archivos de cobranza, salud jalisco, federal, estatal",No,No
14894,"Se trató de un error en el perfil de usuario de prevención que mostraba la pantalla sin opciones, a pesar de estar configuradas. Tras la intervención de Karla para desbloquear el check de //screenaccess//, el problema se solucionó y el usuario pudo visualizar su sesión de forma normal.",No,perfil de usuario,No,No
14895,"El ticket surgió por un aumento inesperado en el capital de un crédito, el cual se debió a un pago reciente aplicado al cliente. Al no poder analizar la situación con el nuevo capital, se decidió cerrar el ticket.",No,créditos en garantía,No,No
14896,"Se planteó un requerimiento para el desarrollo del Lay out de respuesta de pago del afiliado C119 de SECRETARIA DE EDUCACION DE GUERRERO. Tras diversas interacciones y solicitudes de validación, finalmente se canceló el requerimiento por no ser viable para la empresa.",No,"layout, afiliado, guerrero",No,Sí
14897,"El ticket involucró un requerimiento para fijar la comisión en el paquete de renovaciones express para el convenio JYP ISSSTE. Tras múltiples intentos de validación y desarrollo, se determinó que el requerimiento no era viable para la empresa y se procedió a cancelarlo.",No,"comisiones, créditos, issste",No,Sí
14898,"Se solicitó validar una cotización para brindar hospedaje en un servidor IWEB y migrar instalaciones. Tras confirmar la cotización, se envió al cliente Eduardo, quien decidió comprar otro servidor, por lo que se cerró el ticket.",No,"hospedaje, servidor, migración",No,Sí
14899,"Se generaron archivos para el Circulo de Crédito PF y PM. Tras múltiples ajustes y validaciones, se habilitaron los procesos en producción para el perfil Administrador. Se realizaron numerosos cambios y ajustes solicitados por el cliente, finalizando con la validación y notificación al cliente.",No,"circulo de crédito, archivo, proceso automático",Sí,No
14900,"Se solicitó la creación de plantillas económicas para el Balance General y Estado de Resultados. Tras confirmar que funcionaban correctamente, se cerró el ticket.",No,plantillas económicas,No,No
14901,"Se solicitó corregir un reporte de Buró de Crédito para agregar la opción SIC en la sección de Num Consultas y Num Cuentas. Tras múltiples intercambios de información y ajustes, el ticket quedó en pausa hasta nuevo aviso.",No,"corrección, reporte, buró de crédito",Sí,No
