conversation_id,interaction_id,call_type,model,provider,temperature,messages,confidence_score,response,token_usage,timestamp
conv_20250709_c292f1a5,16,Classification,gpt-4o,openai,0,0.95,"[{""role"": ""system"", ""content"": ""[PROMPT:clasificadorprompt_v3.txt]""}, {""role"": ""user"", ""content"": ""{\""user_last_message\"": \""Donde se encuentra el diagrama tortuga de la documentacion iso?\"", \""bot_last_response\"": \""\"", \""second_to_last_interaction\"": \""User: que opinas de la tabla a3 de la documentacion iso' | Bot: \"", \""third_to_last_interaction\"": \""User: y su descripcion? | Bot: \""}""}]","{""classification"": ""ISO"", ""confidence_score"": 0.95, ""inputs"": {""iso_question"": ""Donde se encuentra el diagrama tortuga de la documentacion iso?""}, ""missing_inputs"": [], ""follow_up_prompt"": """"}","{'completion_tokens': 60, 'prompt_tokens': 5567, 'total_tokens': 5627, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 5376}}",2025-07-09 12:20:07
conv_20250709_c292f1a5,17,ISO Answer,gpt-4o-mini,openai,1,,"[{""role"": ""system"", ""content"": ""[PROMPT:isoprompt_v1.txt]""}, {""role"": ""user"", ""content"": ""Donde se encuentra el diagrama tortuga de la documentacion iso?""}]","""No tengo información específica sobre la ubicación del diagrama tortuga en la documentación ISO. Te recomendaría consultar directamente con el departamento de calidad para obtener aclaraciones precisas sobre este tema.""","{'completion_tokens': 44, 'prompt_tokens': 357, 'total_tokens': 401, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0}}",2025-07-09 12:20:08
conv_20250709_c292f1a5,19,Classification,gpt-4o,openai,0,0.95,"[{""role"": ""system"", ""content"": ""[PROMPT:clasificadorprompt_v3.txt]""}, {""role"": ""user"", ""content"": ""{\""user_last_message\"": \""cual e sla politica de calidad segun iso?\"", \""bot_last_response\"": \""\"", \""second_to_last_interaction\"": \""User: Donde se encuentra el diagrama tortuga de la documentacion iso? | Bot: \"", \""third_to_last_interaction\"": \""User: que opinas de la tabla a3 de la documentacion iso' | Bot: \""}""}]","{""classification"": ""ISO"", ""confidence_score"": 0.95, ""inputs"": {""iso_question"": ""cual es la politica de calidad segun iso?""}, ""missing_inputs"": [], ""follow_up_prompt"": """"}","{'completion_tokens': 56, 'prompt_tokens': 5574, 'total_tokens': 5630, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 5376}}",2025-07-09 12:20:44
conv_20250709_c292f1a5,20,ISO Answer,gpt-4o-mini,openai,1,,"[{""role"": ""system"", ""content"": ""[PROMPT:isoprompt_v1.txt]""}, {""role"": ""user"", ""content"": ""cual es la politica de calidad segun iso?""}]","""La política de calidad según ISO 9001 establece el compromiso de la organización para satisfacer las necesidades y expectativas de los clientes, así como para mejorar continuamente la eficacia del sistema de gestión de la calidad. Esta política debe ser documentada, comunicada y entendida dentro de la organización. Implicaciones prácticas para la empresa incluyen la necesidad de establecer objetivos claros de calidad, fomentar una cultura de mejora continua y asegurar que todos los empleados estén alineados con los objetivos de calidad.""","{'completion_tokens': 102, 'prompt_tokens': 410, 'total_tokens': 512, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0}}",2025-07-09 12:20:46
conv_20250709_c292f1a5,22,Classification,gpt-4o,openai,0,0.95,"[{""role"": ""system"", ""content"": ""[PROMPT:clasificadorprompt_v3.txt]""}, {""role"": ""user"", ""content"": ""{\""user_last_message\"": \""cual es la politica de calidad de zell?\"", \""bot_last_response\"": \""\"", \""second_to_last_interaction\"": \""User: cual e sla politica de calidad segun iso? | Bot: \"", \""third_to_last_interaction\"": \""User: Donde se encuentra el diagrama tortuga de la documentacion iso? | Bot: \""}""}]","{""classification"": ""ISO"", ""confidence_score"": 0.95, ""inputs"": {""iso_question"": ""cual es la politica de calidad de zell?""}, ""missing_inputs"": [], ""follow_up_prompt"": """"}","{'completion_tokens': 56, 'prompt_tokens': 5570, 'total_tokens': 5626, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 5376}}",2025-07-09 12:21:21
conv_20250709_c292f1a5,23,ISO Answer,gpt-4o-mini,openai,1,,"[{""role"": ""system"", ""content"": ""[PROMPT:isoprompt_v1.txt]""}, {""role"": ""user"", ""content"": ""cual es la politica de calidad de zell?""}]","""No tengo información específica sobre la política de calidad de Zell. Te recomendaría consultar directamente con el departamento de calidad para obtener detalles precisos sobre este tema.""","{'completion_tokens': 38, 'prompt_tokens': 422, 'total_tokens': 460, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0}}",2025-07-09 12:21:23
conv_20250709_7cac9412,1,Classification,gpt-4o,openai,0,0.95,"[{""role"": ""system"", ""content"": ""[PROMPT:clasificadorprompt_v3.txt]""}, {""role"": ""user"", ""content"": ""{\""user_last_message\"": \""cual es la politica de xalidad de zell??\"", \""bot_last_response\"": \""\"", \""second_to_last_interaction\"": \""User:  | Bot: \"", \""third_to_last_interaction\"": \""\""}""}]","{""classification"": ""ISO"", ""confidence_score"": 0.95, ""inputs"": {""iso_question"": ""cual es la politica de calidad de zell?""}, ""missing_inputs"": [], ""follow_up_prompt"": """"}","{'completion_tokens': 56, 'prompt_tokens': 5543, 'total_tokens': 5599, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 5376}}",2025-07-09 12:27:49
conv_20250709_7cac9412,2,ISO Answer,gpt-4o-mini,openai,1,,"[{""role"": ""system"", ""content"": ""[PROMPT:isoprompt_v1.txt]""}, {""role"": ""user"", ""content"": ""cual es la politica de calidad de zell?""}]","""La Política de Calidad y Seguridad de la Información de Corporativo Zell es la siguiente: 'En Corporativo Zell brindamos soporte y atención a los requerimientos relacionados con los esquemas de servicio de las herramientas Zell que contratan nuestros clientes, quienes proveen servicios financieros. Buscamos la satisfacción de las partes interesadas, asegurando el cumplimiento de los requisitos que nos apliquen con el compromiso de preservar la confidencialidad, integridad y disponibilidad de la información, protegiéndola de amenazas y mitigando los riesgos para asegurar la continuidad de los servicios y operaciones propios de Zell buscando maximizar el retorno de las inversiones, la mejora continua y la sostenibilidad de nuestras operaciones a través de personal capacitado.'""","{'completion_tokens': 152, 'prompt_tokens': 27785, 'total_tokens': 27937, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0}}",2025-07-09 12:27:54
conv_20250709_7cac9412,4,Classification,gpt-4o,openai,0,0.9,"[{""role"": ""system"", ""content"": ""[PROMPT:clasificadorprompt_v3.txt]""}, {""role"": ""user"", ""content"": ""{\""user_last_message\"": \""cuales tickets hablan de migracion ISSTEY del año 2024\"", \""bot_last_response\"": \""\"", \""second_to_last_interaction\"": \""User: cual es la politica de xalidad de zell?? | Bot: \"", \""third_to_last_interaction\"": \""User:  | Bot: \""}""}]","{""classification"": ""Búsqueda Semántica"", ""confidence_score"": 0.9, ""inputs"": {""user_question"": ""cuales tickets hablan de migracion ISSTEY del año 2024"", ""search_query"": ""migracion ISSTEY 2024""}, ""missing_inputs"": [], ""follow_up_prompt"": """"}","{'completion_tokens': 82, 'prompt_tokens': 5562, 'total_tokens': 5644, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 5376}}",2025-07-09 12:28:18
conv_20250709_7cac9412,5,Semantic Classifier,gpt-4o,openai,0.0,0.89,"""cuales tickets hablan de migracion ISSTEY del año 2024""","""{\""classification\"": \""Búsqueda Semántica con filtro\"", \""confidence_score\"": 0.89, \""inputs\"": {\""search_query\"": \""migracion ISSTEY\""}, \""missing_inputs\"": [], \""follow_up_prompt\"": \""\"", \""filters\"": [{\""filterkey\"": \""FechaCreado\"", \""filtervalue\"": {\""from\"": \""01/01/2024\"", \""to\"": \""01/01/2025\""}}]}""","{'completion_tokens': 87, 'prompt_tokens': 3335, 'total_tokens': 3422, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0}}",2025-07-09 12:28:19
conv_20250709_7cac9412,5,Semantic Search,text-embedding-ada-002,openai,0.3,,"""cuales tickets hablan de migracion ISSTEY del año 2024""","""🧠 **Resultados semánticos:**\n\n*IdTicket: 23977 | FechaCreado: 03/06/2024 | Resumen: Se realizó la migración de 816 registros siguiendo las mismas condiciones que un requerimiento anterior. Tras la autorización de la cotización, se completó la migración, se validó en pruebas y se pasó a producción, notificando al cliente y solicitando el pase a producción en una hora específica. Se procedió a la facturación del servicio.\n\n---\n\n*IdTicket: 24076 | FechaCreado: 04/04/2024 | Resumen: Se solicitó realizar la migración de 853 registros bajo las mismas condiciones de un requerimiento anterior. Tras validar la cotización y recibir los documentos correspondientes, se integró la migración en pruebas y posteriormente en producción. Se facturó el servicio y se notificó al cliente.\n\n---\n\n*IdTicket: 24159 | FechaCreado: 04/23/2024 | Resumen: En el ticket 24159 se solicitó la migración de la cartera ISSTEY correspondiente al Segundo periodo de Mayo 2024. Tras la autorización de la cotización, pruebas y validaciones, se logró la liberación en producción y la correspondiente facturación por parte de Karla.\n\n---\n\n*IdTicket: 24222 | FechaCreado: 05/07/2024 | Resumen: Se solicitó la migración de 551 créditos ISSTEY para Mayo 2024. Tras autorización del cliente, se realizó la migración con éxito, pasando de pruebas a producción sin inconvenientes y notificando al cliente. Se cerró el ticket con la integración exitosa de la información.\n\n---\n\n*IdTicket: 24280 | FechaCreado: 05/22/2024 | Resumen: Se realizó la carga de migración ISSTEY correspondiente al segundo periodo de Mayo 2024, con 490 créditos. Tras la integración de los datos en pruebas y producción, se notificó al cliente y se procedió con la facturación del servicio.\n\n---\n\n*IdTicket: 24353 | FechaCreado: 06/07/2024 | Resumen: Se recibió la solicitud de migrar a un servidor compartido, programando la migración en un viernes por la tarde para minimizar impactos en la operación. Tras realizar la migración sin incidentes, se cerró el ticket al no presentar problemas posteriores a la migración.\n\n---\n\n*IdTicket: 24360 | FechaCreado: 06/10/2024 | Resumen: Se solicitó cargar la migración ISSTEY correspondiente al primer periodo de Junio 2024 con 507 créditos. Tras recibir autorización, se realizaron las cargas correspondientes a pruebas y posteriormente a producción. Se validó la migración con el cliente en ambientes de prueba y producción, cerrando el ticket tras confirmar la correcta migración y la facturación correspondiente.\n\n---\n\n*IdTicket: 24419 | FechaCreado: 06/24/2024 | Resumen: En este caso, se solicitó la migración de la cartera ISSTEY del segundo periodo, consistente en 675 créditos. Tras la validación del cliente y la integración en pruebas y producción, se completó con éxito la migración. Finalmente, se procedió a la facturación del ticket.\n\n---\n\n*IdTicket: 24442 | FechaCreado: 06/27/2024 | Resumen: Se solicitó homologar el ambiente de TEST con Producción del 2023 a la fecha, incluyendo todos los desarrollos actuales. Se cotizó la actualización en 20 unidades y se informó al cliente. Se espera la liberación de 5 tickets a producción para proceder con la solicitud.\n\n---\n\n*IdTicket: 24528 | FechaCreado: 07/12/2024 | Resumen: Se solicitó la migración de la cartera ISSTEY del primer periodo de Julio 2024, con 541 créditos. Tras enviar la cotización, recibir la aprobación, y completar la migración a producción, se notificó al cliente y se procedió con la facturación correspondiente.\n\n---\n\n*IdTicket: 24591 | FechaCreado: 07/29/2024 | Resumen: Se solicitó la migración de ISSTEY del segundo periodo de Julio 2024, consistente en 648 créditos. Tras cargar la información en pruebas, se detectó un error en el layout de créditos que fue corregido y validado por el cliente. Posteriormente, se liberó la migración a producción y se procedió con la facturación del servicio.\n\n---\n\n*IdTicket: 24743 | FechaCreado: 08/28/2024 | Resumen: Se inició la migración a los nuevos servidores tras autorizar la cotización en el ticket anterior. Tras varios intentos de confirmación de la opción elegida y sin respuesta del cliente, se solicitó cancelar el proceso de migración, cerrando el ticket.""",token_usage,2025-07-09 12:28:20
conv_20250807_5b6462e0,1,Classification,gpt-4o,openai,0,0.92,"[{""role"": ""system"", ""content"": ""[PROMPT:clasificadorprompt_v3.txt]""}, {""role"": ""user"", ""content"": ""{\""user_last_message\"": \""Cuales tickets se levantaron desde que empezo agosto del 2025?\"", \""bot_last_response\"": \""\"", \""second_to_last_interaction\"": \""User:  | Bot: \"", \""third_to_last_interaction\"": \""\""}""}]","{""classification"": ""Búsqueda de Query"", ""confidence_score"": 0.92, ""inputs"": {""user_question"": ""Cuales tickets se levantaron desde que empezo agosto del 2025?""}, ""missing_inputs"": [], ""follow_up_prompt"": """"}","{'completion_tokens': 65, 'prompt_tokens': 5546, 'total_tokens': 5611, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0}}",2025-08-07 17:44:56
conv_20250807_5b6462e0,1,SQL Generation,gpt-4o-mini,openai,0,,"[{""role"": ""system"", ""content"": ""[PROMPT:queryprompt_v1.txt]""}, {""role"": ""user"", ""content"": ""Cuales tickets se levantaron desde que empezo agosto del 2025?""}]","{""sql_query"": ""SELECT TOP 100 iError = 0, vError = '', vJsonType = 'Query', IdTicket, Cliente, Titulo, FechaCreado, DetectadoPor, Estatus FROM Tickets WHERE CONVERT(datetime, FechaCreado, 101) >= '08/01/2025' ORDER BY CONVERT(datetime, FechaCreado, 101) DESC"", ""mensaje"": ""Se muestran todos los tickets levantados desde el 1 de agosto de 2025.""}","{'completion_tokens': 108, 'prompt_tokens': 3205, 'total_tokens': 3313, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0}}",2025-08-07 17:44:59
conv_20250807_5b6462e0,1,Result Analysis,gpt-4o-mini,openai,0.3,,"[{""role"": ""system"", ""content"": ""[PROMPT:analisisqueryprompt_v2.txt]""}, {""role"": ""user"", ""content"": ""[DATA]""}]","""Se han levantado **100+ tickets** desde que comenzó agosto de 2025. Aquí están los más recientes:\n* IdTicket: 36266 | Cliente: GOC | Titulo: Modificar método zigCreditAmortization | Creado: 07/08/2025 | DetectadoPor: JOHANA | Estatus: Espera Información\n* IdTicket: 36265 | Cliente: GOC | Titulo: Agregar columna a proceso csv carga reembolsos | Creado: 07/08/2025 | DetectadoPor: JOHANA | Estatus: Análisis del Ticket\n* IdTicket: 36264 | Cliente: DXN | Titulo: Actualizar Componente Genera PDF | Creado: 06/08/2025 | DetectadoPor: ALFREDO | Estatus: Estima Fecha Desarrollo\n* IdTicket: 36263 | Cliente: UCX | Titulo: Agregar columna importe de moratorios a reportes | Creado: 06/08/2025 | DetectadoPor: JOHANA | Estatus: Validación Cliente\n* IdTicket: 36262 | Cliente: UCX | Titulo: Créditos con reestructura sin pago liquidación 2 | Creado: 06/08/2025 | DetectadoPor: JOHANA | Estatus: Investigación\n* IdTicket: 36261 | Cliente: EXI | Titulo: z36261 - Observaciones WS aplicación pagos grupal | Creado: 06/08/2025 | DetectadoPor: JAVIER | Estatus: Validación Cliente\n* IdTicket: 36260 | Cliente: CFO | Titulo: Error en Proceso Detalle de Movimiento BI DIARIO | Creado: 06/08/2025 | DetectadoPor: CAROLINA | Estatus: Validación Cliente\n* IdTicket: 36259 | Cliente: DXT | Titulo: Error en Matriz de Riesgo: Convenio ISSTEY | Creado: 05/08/2025 | DetectadoPor: CAROLINA | Estatus: Análisis del Ticket\n* IdTicket: 36258 | Cliente: AYU | Titulo: Desarrollar API para checklist de la solicitud | Creado: 05/08/2025 | DetectadoPor: JOHANA | Estatus: Espera Información\n* IdTicket: 36257 | Cliente: AYU | Titulo: Modificar reporte de estatus de solicitudes | Creado: 05/08/2025 | DetectadoPor: JOHANA | Estatus: Investigación""","{'completion_tokens': 553, 'prompt_tokens': 6106, 'total_tokens': 6659, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0}}",2025-08-07 17:45:11
